,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,popularity,decade,duration_min
danceability,1.0,0.1432477894104682,0.016036276807769617,0.18192986327037822,-0.04272852928722329,0.15398289824156894,-0.22029950910993767,-0.2637184848012263,-0.1360358322626417,0.5323323546746517,-0.07833648062181793,-0.05610748734368437,0.18008465745245983,-0.0352366380344369,-0.04655535377879615,0.32751335007283705,-0.016860251724804824,-0.05610748734368388
energy,0.1432477894104682,1.0,0.022176463505201707,0.7546277324664358,-0.045518584646781504,0.13843550588933892,-0.6898441633718007,-0.12947559832115624,0.14706094842960418,0.2871724565312195,0.21121509230410784,0.025068719907052693,0.17468720928811377,0.01956850552801636,-0.02933910359185347,0.12692687522506668,-0.20981317389343093,0.02506871990705518
key,0.016036276807769617,0.022176463505201707,1.0,0.010558684836633673,-0.1414812441458069,0.026860763032912443,-0.026045407242786055,-0.01282621140374553,0.0008146231115193805,0.008169917697456201,0.003205577256284144,0.01479655576455975,0.006887042272116102,0.011507483088071159,0.005762120443966422,0.010164088385150465,-0.00761200505217566,0.014796555764560047
loudness,0.18192986327037822,0.7546277324664358,0.010558684836633673,1.0,-0.01839593560572363,0.09545650211955985,-0.5350415232864034,-0.2877688151698098,0.06815079214925075,0.1693932345309683,0.14020491104789254,-0.04362319314484408,0.13149018483062594,-0.0031679012935384183,-0.07506404355438184,0.23519871109697654,-0.3690715284270569,-0.04362319314484177
mode,-0.04272852928722329,-0.045518584646781504,-0.1414812441458069,-0.01839593560572363,1.0,-0.0634712858927432,0.05940364591223416,-0.07099067014055227,0.006968259308533854,0.029181785908311633,0.022927114729382168,-0.07597721830067981,-0.016603051335117903,-0.021848033347765045,-0.05679148240914397,0.07796786054061147,0.04826870345858094,-0.07597721830068029
speechiness,0.15398289824156894,0.13843550588933892,0.026860763032912443,0.09545650211955985,-0.0634712858927432,1.0,-0.09056476759541705,-0.0759697417958874,0.12628299345283342,-0.005712934701485502,0.03483003148045001,0.010240816498200384,0.026599365965674616,0.01624426317519669,-0.005639946203549912,-0.040605019505466106,-0.166673392657505,0.010240816498201086
acousticness,-0.22029950910993767,-0.6898441633718007,-0.026045407242786055,-0.5350415232864034,0.05940364591223416,-0.09056476759541705,1.0,0.14283582705351083,-0.013837776117712162,-0.14419152035211988,-0.16790763879290233,-0.08737469240094621,-0.17443102500324834,-0.021051011308820394,-0.03199110056890289,-0.21225400593284507,0.19696428603133398,-0.08737469240094957
instrumentalness,-0.2637184848012263,-0.12947559832115624,-0.01282621140374553,-0.2877688151698098,-0.07099067014055227,-0.0759697417958874,0.14283582705351083,1.0,-0.032348982180816076,-0.24363677249354362,-0.024603325934503154,0.10537825471499132,-0.06133177879877092,0.045950210047286486,0.07287609095806986,-0.39059125348365265,-0.0043602726987257865,0.10537825471499113
liveness,-0.1360358322626417,0.14706094842960418,0.0008146231115193805,0.06815079214925075,0.006968259308533854,0.12628299345283342,-0.013837776117712162,-0.032348982180816076,1.0,-0.014936946504756722,0.018769287407803044,0.007563415324697935,-0.0023383417895847984,0.03976361011125311,-0.008820897243652445,-0.06109287578230242,0.010014037242378137,0.007563415324697501
valence,0.5323323546746517,0.2871724565312195,0.008169917697456201,0.1693932345309683,0.029181785908311633,-0.005712934701485502,-0.14419152035211988,-0.24363677249354362,-0.014936946504756722,1.0,0.08146175757078215,-0.17335050102376404,0.14069626719681447,-0.058617990993903184,-0.12763696356734952,0.22204932996436128,0.18298075278628267,-0.1733505010237674
