popularity,tempo,energy,danceability
1,185.655,0.62,0.417
0,101.801,0.505,0.498
0,115.94,0.649,0.657
0,105.592,0.545,0.59
0,114.617,0.765,0.515
0,112.117,0.673,0.697
0,143.507,0.272,0.662
1,119.999,0.624,0.72
0,118.223,0.22,0.545
1,128.336,0.603,0.511
0,124.986,0.0675,0.491
1,120.29,0.411,0.52
0,100.757,0.565,0.717
1,94.024,0.666,0.746
1,124.875,0.448,0.598
0,82.628,0.396,0.521
1,74.4,0.45,0.356
0,123.446,0.666,0.493
0,74.94,0.246,0.147
1,140.988,0.445,0.502
1,128.017,0.225,0.48
1,100.721,0.357,0.604
0,84.048,0.0581,0.213
0,137.787,0.14,0.427
1,130.214,0.524,0.81
1,123.042,0.527,0.498
1,102.088,0.299,0.844
0,109.603,0.463,0.463
0,79.14,0.551,0.431
1,111.28,0.699,0.515
0,118.575,0.493,0.528
1,119.57,0.216,0.357
0,88.961,0.0811,0.283
0,117.568,0.821,0.56
0,97.055,0.172,0.337
0,100.826,0.358,0.565
1,118.568,0.398,0.743
0,120.911,0.658,0.555
1,128.956,0.422,0.519
1,134.934,0.49,0.566
0,81.541,0.378,0.257
1,147.076,0.686,0.611
1,110.202,0.49,0.653
1,71.94,0.375,0.203
0,127.97,0.365,0.597
0,140.173,0.41,0.559
0,90.467,0.474,0.475
1,103.309,0.621,0.763
0,124.191,0.756,0.468
0,133.215,0.556,0.583
0,139.521,0.697,0.611
0,122.049,0.496,0.762
0,121.325,0.513,0.603
1,80.842,0.241,0.275
1,96.751,0.625,0.619
0,110.284,0.47,0.492
0,126.755,0.669,0.728
1,79.648,0.796,0.498
0,98.185,0.0867,0.24
0,77.224,0.28,0.238
1,172.346,0.789,0.402
1,119.987,0.297,0.772
1,165.462,0.495,0.306
0,134.396,0.898,0.849
1,100.813,0.566,0.548
1,125.228,0.835,0.668
1,122.668,0.743,0.66
1,132.734,0.671,0.573
1,121.314,0.508,0.784
1,109.302,0.472,0.625
1,92.746,0.348,0.515
1,177.061,0.616,0.708
1,133.223,0.779,0.485
1,139.434,0.428,0.638
0,165.59,0.102,0.468
1,139.166,0.644,0.622
0,63.642,0.151,0.614
1,119.287,0.467,0.699
1,121.588,0.505,0.604
0,146.477,0.429,0.78
0,124.058,0.586,0.711
0,101.289,0.519,0.304
0,138.105,0.539,0.567
1,94.143,0.688,0.775
0,84.766,0.167,0.145
0,135.676,0.546,0.87
0,82.343,0.121,0.559
1,141.465,0.621,0.444
1,157.875,0.929,0.371
1,98.309,0.661,0.677
0,127.195,0.551,0.57
0,86.726,0.187,0.145
1,135.098,0.208,0.349
1,76.785,0.313,0.326
0,109.781,0.578,0.211
0,89.62,0.464,0.683
1,121.074,0.25,0.458
1,93.206,0.579,0.471
0,79.671,0.171,0.342
0,108.381,0.398,0.205
0,81.85,0.318,0.475
0,127.384,0.447,0.563
0,65.829,0.196,0.18
0,59.859,0.331,0.122
0,107.706,0.29,0.597
0,79.981,0.0625,0.218
0,137.348,0.364,0.343
1,99.055,0.715,0.543
1,177.214,0.148,0.374
0,155.946,0.715,0.587
1,120.386,0.377,0.585
0,105.369,0.559,0.438
1,106.718,0.653,0.719
0,98.019,0.646,0.562
1,119.045,0.51,0.586
0,157.555,0.599,0.62
1,112.826,0.626,0.7
1,109.427,0.758,0.632
1,130.506,0.788,0.748
0,111.828,0.289,0.549
0,129.039,0.123,0.354
0,175.245,0.65,0.414
1,124.067,0.554,0.579
1,121.157,0.526,0.486
1,114.987,0.916,0.637
0,91.097,0.324,0.135
1,131.569,0.539,0.648
1,120.496,0.617,0.58
1,75.533,0.916,0.377
0,145.513,0.762,0.567
1,93.834,0.483,0.42
0,87.597,0.83,0.624
0,97.303,0.453,0.638
1,88.654,0.2,0.29
1,120.823,0.673,0.683
0,122.744,0.168,0.213
0,113.898,0.927,0.567
0,107.516,0.18,0.394
1,78.691,0.742,0.556
1,105.97,0.431,0.344
1,145.148,0.257,0.306
0,127.417,0.511,0.566
0,76.555,0.104,0.094
1,131.501,0.736,0.616
0,96.118,0.947,0.404
0,91.686,0.758,0.505
1,161.385,0.858,0.33
1,82.613,0.276,0.465
1,82.967,0.279,0.177
0,95.872,0.0902,0.522
0,123.219,0.504,0.633
0,144.075,0.538,0.446
0,129.589,0.454,0.431
0,101.506,0.294,0.181
1,130.354,0.622,0.638
0,111.388,0.7,0.48
1,99.397,0.568,0.538
1,102.776,0.451,0.438
0,143.993,0.495,0.387
0,139.318,0.2,0.193
1,119.392,0.424,0.537
0,151.211,0.276,0.379
0,116.428,0.386,0.369
1,110.438,0.327,0.725
1,146.541,0.683,0.435
0,84.982,0.535,0.609
1,167.832,0.709,0.604
1,126.825,0.749,0.438
0,91.202,0.52,0.625
0,94.919,0.453,0.304
0,121.97,0.549,0.565
0,113.336,0.197,0.192
0,174.92,0.313,0.315
1,72.115,0.45,0.519
1,107.891,0.172,0.651
1,135.142,0.432,0.428
1,102.009,0.715,0.562
0,133.386,0.572,0.718
0,92.94,0.319,0.524
0,135.355,0.412,0.484
1,105.7,0.407,0.445
0,100.746,0.666,0.502
0,133.49,0.632,0.494
0,80.106,0.156,0.546
1,105.316,0.648,0.599
1,159.946,0.552,0.381
0,81.795,0.332,0.579
1,134.071,0.374,0.431
0,168.382,0.304,0.275
1,122.291,0.729,0.565
1,95.417,0.471,0.595
1,82.312,0.259,0.368
1,169.864,0.723,0.555
0,98.847,0.303,0.701
0,135.425,0.352,0.358
1,83.411,0.596,0.441
0,117.05,0.19,0.497
0,139.715,0.213,0.586
1,157.404,0.852,0.525
1,119.878,0.405,0.658
