,popularity
popularity,1.0
danceability,0.32751335007283705
loudness,0.23519871109697654
valence,0.22204932996436128
energy,0.12692687522506668
time_signature,0.09309524770516751
mode,0.07796786054061147
tempo,0.014264648936401263
key,0.010164088385150465
decade,0.0004281674765128438
speechiness,-0.040605019505466106
chorus_hit,-0.04497011715247629
sections,-0.0584665633688986
liveness,-0.06109287578230242
duration_ms,-0.07549336527454312
duration_min,-0.07549336527454356
acousticness,-0.21225400593284507
instrumentalness,-0.39059125348365265
