danceability,energy,key,loudness,popularity
0.417,0.62,3,-7.727,1
0.498,0.505,3,-12.475,0
0.657,0.649,5,-13.392,0
0.59,0.545,7,-12.058,0
0.515,0.765,11,-3.515,0
0.697,0.673,0,-10.573,0
0.662,0.272,0,-18.883,0
0.72,0.624,5,-9.086,1
0.545,0.22,2,-15.079,0
0.511,0.603,2,-7.637,1
0.491,0.0675,10,-17.096,0
0.52,0.411,9,-12.411,1
0.717,0.565,2,-8.606,0
0.746,0.666,2,-10.408,1
0.598,0.448,4,-14.978,1
0.521,0.396,5,-12.299,0
0.356,0.45,6,-6.677,1
0.493,0.666,11,-8.209,0
0.147,0.246,1,-16.997,0
0.502,0.445,1,-9.562,1
0.48,0.225,3,-15.402,1
0.604,0.357,6,-11.419,1
0.213,0.0581,8,-22.425,0
0.427,0.14,9,-19.857,0
0.81,0.524,7,-9.77,1
0.498,0.527,5,-9.263,1
0.844,0.299,0,-12.645,1
0.463,0.463,8,-12.178,0
0.431,0.551,1,-12.732,0
0.515,0.699,0,-7.316,1
0.528,0.493,0,-12.346,0
0.357,0.216,3,-12.833,1
0.283,0.0811,11,-20.653,0
0.56,0.821,7,-4.09,0
0.337,0.172,0,-16.735,0
0.565,0.358,0,-8.442,0
0.743,0.398,2,-8.328,1
0.555,0.658,0,-4.487,0
0.519,0.422,4,-8.732,1
0.566,0.49,0,-10.867,1
0.257,0.378,5,-9.61,0
0.611,0.686,0,-10.647,1
0.653,0.49,0,-10.106,1
0.203,0.375,0,-8.781,1
0.597,0.365,2,-12.031,0
0.559,0.41,9,-13.831,0
0.475,0.474,3,-13.897,0
0.763,0.621,2,-9.908,1
0.468,0.756,0,-7.37,0
0.583,0.556,8,-12.165,0
0.611,0.697,9,-8.43,0
0.762,0.496,7,-12.845,0
0.603,0.513,1,-7.329,0
0.275,0.241,10,-14.526,1
0.619,0.625,7,-9.635,1
0.492,0.47,0,-8.732,0
0.728,0.669,9,-8.755,0
0.498,0.796,8,-4.882,1
0.24,0.0867,7,-18.238,0
0.238,0.28,3,-11.502,0
0.402,0.789,9,-6.148,1
0.772,0.297,5,-14.679,1
0.306,0.495,5,-7.663,1
0.849,0.898,7,-6.064,0
0.548,0.566,10,-11.876,1
0.668,0.835,0,-0.507,1
0.66,0.743,8,-6.881,1
0.573,0.671,7,-4.964,1
0.784,0.508,0,-9.541,1
0.625,0.472,2,-11.18,1
0.515,0.348,0,-12.457,1
0.708,0.616,5,-10.827,1
0.485,0.779,7,-14.235,1
0.638,0.428,9,-12.156,1
0.468,0.102,11,-17.171,0
0.622,0.644,3,-7.484,1
0.614,0.151,1,-13.432,0
0.699,0.467,4,-8.578,1
0.604,0.505,9,-12.404,1
0.78,0.429,0,-11.808,0
0.711,0.586,10,-9.78,0
0.304,0.519,8,-8.825,0
0.567,0.539,11,-13.61,0
0.775,0.688,3,-12.959,1
0.145,0.167,9,-21.377,0
0.87,0.546,0,-13.393,0
0.559,0.121,2,-19.291,0
0.444,0.621,7,-9.138,1
0.371,0.929,9,-5.37,1
0.677,0.661,4,-5.136,1
0.57,0.551,8,-4.373,0
0.145,0.187,6,-17.613,0
0.349,0.208,8,-15.491,1
0.326,0.313,0,-16.17,1
0.211,0.578,7,-5.611,0
0.683,0.464,0,-12.06,0
0.458,0.25,1,-8.087,1
0.471,0.579,0,-12.62,1
0.342,0.171,3,-16.481,0
0.205,0.398,5,-12.075,0
0.475,0.318,8,-12.671,0
0.563,0.447,0,-15.218,0
0.18,0.196,10,-20.103,0
0.122,0.331,11,-12.269,0
0.597,0.29,2,-9.367,0
0.218,0.0625,10,-22.482,0
0.343,0.364,2,-16.701,0
0.543,0.715,9,-5.195,1
0.374,0.148,7,-15.452,1
0.587,0.715,3,-5.48,0
0.585,0.377,5,-13.253,1
0.438,0.559,6,-10.725,0
0.719,0.653,2,-11.572,1
0.562,0.646,0,-10.697,0
0.586,0.51,9,-9.072,1
0.62,0.599,5,-4.746,0
0.7,0.626,3,-11.611,1
0.632,0.758,0,-3.414,1
0.748,0.788,2,-11.284,1
0.549,0.289,0,-16.129,0
0.354,0.123,9,-17.119,0
0.414,0.65,2,-9.028,0
0.579,0.554,5,-8.896,1
0.486,0.526,11,-9.835,1
0.637,0.916,7,-6.95,1
0.135,0.324,0,-11.517,0
0.648,0.539,7,-11.514,1
0.58,0.617,0,-8.706,1
0.377,0.916,4,-3.199,1
0.567,0.762,3,-12.355,0
0.42,0.483,1,-13.608,1
0.624,0.83,5,-4.854,0
0.638,0.453,7,-7.744,0
0.29,0.2,8,-12.748,1
0.683,0.673,7,-10.406,1
0.213,0.168,5,-20.315,0
0.567,0.927,2,-5.687,0
0.394,0.18,9,-15.943,0
0.556,0.742,8,-6.524,1
0.344,0.431,4,-9.631,1
0.306,0.257,10,-10.658,1
0.566,0.511,0,-8.13,0
0.094,0.104,7,-22.329,0
0.616,0.736,10,-9.156,1
0.404,0.947,6,-4.692,0
0.505,0.758,1,-13.312,0
0.33,0.858,11,-5.134,1
0.465,0.276,2,-13.184,1
0.177,0.279,9,-10.951,1
0.522,0.0902,0,-22.234,0
0.633,0.504,1,-11.59,0
0.446,0.538,4,-11.805,0
0.431,0.454,7,-14.31,0
0.181,0.294,5,-15.448,0
0.638,0.622,1,-10.035,1
0.48,0.7,7,-10.989,0
0.538,0.568,2,-5.7,1
0.438,0.451,4,-8.681,1
0.387,0.495,9,-8.923,0
0.193,0.2,5,-14.117,0
